uid,Page_view,Like_count,Number_of_authors_viewed,Number_of_viewed_works,Average_duration_of_viewing_works,Number_of_background_music_views,Complete_views,Number_of_cities_visited,Number_of_citzes_viewing_works,City_where_the_user_is_located
0,34,0,31,34,12.058823529411764,31,18,1,28,21.0
1,28,1,28,28,12.357142857142858,26,14,1,25,137.0
2,56,0,56,56,10.357142857142858,47,19,3,45,109.0
3,117,1,116,117,9.982905982905983,89,60,1,76,346.0
4,123,0,117,123,10.853658536585366,94,77,1,84,183.0
5,23,0,23,23,13.695652173913043,23,19,1,22,59.0
6,63,0,55,63,10.666666666666666,62,31,3,41,324.0
7,63,0,61,63,12.11111111111111,56,6,3,53,123.0
8,113,0,103,113,10.68141592920354,101,48,1,63,143.0
9,8,0,8,8,8.5,8,5,1,8,69.0
10,263,1,199,263,11.144486692015208,182,75,1,87,143.0
11,22,0,20,22,13.227272727272727,20,11,1,16,238.0
12,112,0,111,112,10.267857142857142,105,67,1,65,292.0
13,39,0,37,39,10.871794871794872,34,19,1,32,249.0
14,107,0,107,107,11.542056074766355,86,43,1,77,78.0
15,100,0,98,100,10.9,84,44,3,73,178.0
16,41,0,37,41,14.146341463414634,39,17,1,30,155.0
17,9,0,9,9,12.222222222222221,9,3,1,9,251.0
18,165,1,158,165,11.327272727272728,111,31,1,25,30.0
19,18,0,18,18,12.5,17,4,1,17,104.0
20,27,0,27,27,9.333333333333334,26,20,1,22,224.0
21,29,0,29,29,13.482758620689655,27,14,1,27,117.0
22,192,0,184,192,11.927083333333334,155,111,1,105,109.0
23,62,0,60,62,9.887096774193548,52,16,2,46,27.0
24,29,0,29,29,9.620689655172415,28,6,3,26,20.0
25,33,0,33,33,10.121212121212121,30,11,1,28,39.0
26,11,0,10,11,10.818181818181818,11,6,1,9,271.0
27,44,0,44,44,10.977272727272727,44,22,1,38,237.0
28,190,0,180,190,11.41578947368421,166,54,2,88,99.0
29,47,0,47,47,10.382978723404255,46,12,2,40,242.0
30,51,0,50,51,11.843137254901961,42,14,1,43,180.0
31,11,0,11,11,8.909090909090908,10,2,1,11,72.0
32,73,0,72,73,10.89041095890411,66,44,2,53,21.0
33,45,0,45,45,10.511111111111111,41,26,1,36,97.0
34,65,0,64,65,11.338461538461539,60,9,1,47,57.0
35,18,0,18,18,13.88888888888889,17,11,1,16,22.0
36,19,0,19,19,11.473684210526315,18,7,1,14,13.0
37,110,9,107,110,11.072727272727272,93,41,1,78,214.0
38,268,0,247,268,10.664179104477611,230,67,2,80,125.0
39,53,0,51,53,11.150943396226415,48,10,1,37,31.0
40,98,2,97,98,12.112244897959183,83,29,1,74,95.0
41,49,0,49,49,10.040816326530612,43,9,1,39,85.0
42,96,0,86,96,10.46875,80,32,1,56,18.0
43,199,50,196,199,10.899497487437186,170,48,3,93,16.0
44,65,0,65,65,10.338461538461539,59,28,1,48,129.0
45,28,0,28,28,12.357142857142858,26,14,1,28,195.0
46,118,0,116,118,10.254237288135593,94,49,1,73,189.0
47,118,0,109,118,11.101694915254237,93,44,1,67,54.0
48,182,0,180,182,11.346153846153847,150,85,1,107,15.0
49,50,0,49,50,11.42,44,6,1,36,171.0
50,7,0,7,7,8.428571428571429,7,3,1,6,123.0
51,142,0,118,142,12.316901408450704,121,33,1,79,337.0
52,147,0,142,147,11.326530612244898,123,19,1,80,287.0
53,450,1,388,450,11.144444444444444,333,127,1,151,15.0
